,Label,text
0,bodo,"Sasa-miandry azy eo ianao
Angamba izy efa lasa lavitra
Nandalo teto efa ho ora iray
Izy nanao veloma tsy niherika
Nitsikitsiky fatratra
Niakanjo tena tonga lafatra
Raha izaho no toa anao
Dia nandeha aho fa izy tsy ho avy

’Ndao handihy hiaraka amiko
Fa izay lasa any an-kafa tsy hiverina intsony,
Malakia ho tantanako
Fa ny anio sy ny ampitso tsy hitovy intsony.

Iza moa no anaranao ?
Mba tiako ho fantatra ka mba lazao.
Raha mba te-hiantso anao
Afaka omenao ve ny nomerao ?
Rehefa hariva dia hateriko ianao
Hateriko eny am-baravarana,
Ary ny ampitso indray
Ka izaho tsy hampiandry ela anao.

’Ndao handihy...        --------"
1,bodo,"Afaka ny Tahotro,
Voafidy ankehitriny
Tsy mba manana ahiahy
Fa ianao dia ahy

Tsy mety afaka ao an-doha
Efa mifikitra tsy miala
Ianao foana foana
No mameno ny andro rehetra

Tsy mila tamby,
Tsy mila valiny,na vetin-teny ho renesiko
Tsy resena lahatra aho,na omena fahafaham-po
ampitony ahy
Anilanao tanteraka aho mandrakizay
F'ianao mantsy efa ato anaty
Tsy mba manam-paharoa

Anilanao tsy mba mangina
Izay atao dia mahaliana ahy
Ianao no ambeti-teny
Miverina matetika
Oh Oh Oh Oh
hm hm hm hm

Tsy mila tamby,
Tsy mila valiny,na vetin-teny ho renesiko
Tsy resena lahatra aho,na fahafaham-po
ampitony ahy
Anilanao tanteraka aho mandrakizay
F'ianao mantsy efa ato anaty
Tsy mba manam-paharoa

Afaka ny tahotro…        --------"
2,bodo,"Ny fitiavantsika roa
Kanto tokoa
Nofinofy mamy soa
Tsy mba ho lo
Embona mameno fo
Tsisy ahiahy
Mety hampanahy
Ny androntsika hatramin’izao
Tanana tsy mifandao

Aina miray
Tsy vaky lay
Toa ‘ty sy ‘nday
Lakam-pitia
Fo mifangia
Miara-dia

Mpihira : bodo
Tonony : Haingo
Feony : Beranto        --------"
3,bodo,"Ambarambarao amin'ny dada
Ambarambarao amin'ny neny
ny hafalianao
Lazalazao an'ikaky, lazalazao an'i neny
ny alahelonao

Tsy zaka irery ny fiainana
Ianao anie zanaka tiana

Ambarambarao amin'i dada
Ambarambarao amin'i neny
Fa tia ianao
Lazalazao an'ikaky, lazalazao an'i neny
ny alahelonao

Fa izy anie nandao anao.
Nandratra ka saro-sitranina
Avia re sombinaiko, an-tratrako
F'omeko anao ny hery rehetra ananako

Tambitamby avy amin'i dada
Tambitamby avy amin'i neny
no iononanao
Fitiavana tsy arahan-datsa 
Fitiavana tsy arahan-teny
No nitokianao.
Ka nanome fiononana
Aza tomany fa tsy irery ianao.

Avia re sombinaiko an-tratrako
F'omeko anao ny hery rehetra ananako
Tsy zaka irery ny fiainana
Ianao anie zanaka tiana        --------"
4,bodo,"Dia kotsan-dranomaso indray
Ny tavako andraony.
Voafitaky ny foko
Henika fitia,
Zay toa mibatabitaka 
Miandry anao ho avy
Kinanjo dia nangaina
Tsy nahavery dia. 

                            Ampamoizo aho
                            Fa mafy sy mangidy
                            Ny miambina isan’andro
                            Ny antsonao tsy ho avy
                            Ampamoizo aho
                            fa tebiteby foana
                            Ny miandry ilay "" TSIA""
                            Tsy hamonjy ny fotoana
                            Indray ianao
                            Anio
Dia miezaka hampangiana
Hampangiana anao
Ry foko mitoloko 
Henika fitia
Kanefa dia miboika
Toa tsy misy fetra
Ny emboka fitia
Apololoitranao

                           Ampamoizo aho
                           ...................
                           ...................

Raha vao mandre ny anarany
Ny mombamomba azy ianao
Tsy mahalala fahafatesana
Fa tia hatramin’ny farany

                          Ampamoizo aho
                          ..................

Tonony :Bodo
Feony  :Bodo



                                            --------"
5,bodo,"Aza atamberinao ny omalintsika teo iny 
Na te handre aza tsy tantko 
Izaho ’lay nilaozanao, ny antony tsy hay 
Efa im-piry aho no voa toa izay 
     Ireo toetra ratsinao, maneho fa tsy tia ahy 
     Voa maika koa mitana ny fitiavako hivay 
     Aza miala tsiny ianao, na miteny hoe tsy nahy 
     Satria aho efa tomany indray 
Ampy ahy izay 
Ianao ’lay tsy foiko 
Ankahalaiko 
Na tsy ho afaka ato an-tsaiko 
     Aza mikasia ahy na kpoa manontany 
     Ny tambitambinao no ziogako 
     Ny orako fanaonao ary ny teny mamy 
     Avalony ndrao mambabo ahy          --------"
6,bodo,"Toa fanaperana aho hoy ianao
Fa toa anjely aho imasonao
Tsy izaho no tsara fa ny fitiavanao
Tsy izaho no anjely fa ianao
Sy ny fonao tia
     Meva fitafy aho voalazanao
     Voatenona tsara sy vaovao
     Fitafy tsara raha ny fitiavanao
     Voatenona tsara ny toky izay
     Nomenao ahy
Manan-danja aho eo aminao
Izaho no mpanjaka hoy ianao
Zinona izao rehetra izao
Satria izao no ao am-ponao
Izay aleha toa misy anao
Na ny mosika aza hira ho anao
Ny eritreritro any aminao
Satria ianao no ao am-poko ao        --------"
7,bodo,"Misy olona mitomany 
Hitanao any ho any
Mahatsiaro ho resin’ny fiainana
Ka velona ny taraina
Mahatsiaro ho potraka tokoa 
Nefa atao ahoana moa
Izay angamba no anjaranao
Sa ny vintana no tsy tao
Iza no ahalala ny ratsy vitanao ety an-tany
Misafidy foana ianao
Ho velona sa ho faty
Mahatsiaro ho potraka tokoa
Nefa atao ahoana moa 
K’aza kivy toa izao 
Andriamanitra anie homba anao
Ankino tanteraka 
Fa aza manaiky ho reraka
Ho tafita foana ianao
Rehefa ao ilay Tompo Andriamanitrao
F’Izy no manampy anao 
Rehefa manatona Azy ianao 
Satria ny Ray, Ray, Ray 
Mahavitra ny tsirairay

Mpihira : bodo
Tonony : bodo
Feony : dôsa        --------"
8,bodo,"Aoka izay ngidinao
O! ry vintako tsy tsara
Fa ifonako tokoa
Maty aho fa mitsahara
Midaraboka mianjera efa tsy maharin-tena
Asanao raha dia ho sahy 
Irony tsindry hazo lena

      He ’ty hoditry ny foko
      Miepakepaka tsy nahy
      Fa voarangotrao daholo
      Na ny saiko na fanahy
      Dian’antsy dia-nify 
      No natentinao ny foko
      Dray ry vintako malala 
      Manafotra ahy ny mitoloko

Asanao ry vintako
Maty aho aminao e
Asanao tokoa tokoa
Asanao dia asanao
Raha hijery ity toloko 
Apotrapotrako tsy miato
Na ho faly ny hatoriako
Eo am-parafara vato.

Lahatsoratra: Rabehajaina Justin        --------"
9,bodo,"Tsora-kazo mifamaho
Efa firy no nitranga teny an-dalanodiaviko
Tao ny orana mitraho
Tao ny tsikin’andro manga
Nefa samy nodiaviko
Ary nisy fijaliana tsy nampoiziko tokoa
Nizahana toetra ahy
Saingy tamim-pifaliana
No nandraisako azy ho soa
Mampiorona fanahy
      Ref:Tsy hoe izaho no tsy mahatsiaro
           Raha tsy de mikaikaika 
           Amin’ny ratram-po sy feriko
           Fa ianao Jeso
           Miaro ny finoako tsy hiraika
           Ka ny herinao no heriko        --------"
